timestamp,generation,hour,day,weekday,month,anomaly_iforest
2024-03-21 16:00:00,3936,16,21,Thursday,March,False
2024-03-21 15:00:00,365,15,21,Thursday,March,False
2024-03-21 14:00:00,42,14,21,Thursday,March,False
2024-03-21 13:00:00,60,13,21,Thursday,March,False
2024-03-21 12:00:00,75,12,21,Thursday,March,False
2024-03-21 11:00:00,105,11,21,Thursday,March,False
2024-03-21 10:00:00,148,10,21,Thursday,March,False
2024-03-21 09:00:00,177,9,21,Thursday,March,False
2024-03-21 08:00:00,175,8,21,Thursday,March,False
2024-03-21 07:00:00,166,7,21,Thursday,March,False
2024-03-21 06:00:00,136,6,21,Thursday,March,False
2024-03-21 05:00:00,138,5,21,Thursday,March,False
2024-03-21 04:00:00,163,4,21,Thursday,March,False
2024-03-21 03:00:00,2177,3,21,Thursday,March,False
2024-03-21 02:00:00,9121,2,21,Thursday,March,False
2024-03-21 01:00:00,10908,1,21,Thursday,March,False
2024-03-21 00:00:00,12297,0,21,Thursday,March,False
2024-03-20 23:00:00,13077,23,20,Wednesday,March,False
2024-03-20 22:00:00,13955,22,20,Wednesday,March,False
2024-03-20 21:00:00,14252,21,20,Wednesday,March,True
2024-03-20 20:00:00,14282,20,20,Wednesday,March,True
2024-03-20 19:00:00,14029,19,20,Wednesday,March,False
2024-03-20 18:00:00,14089,18,20,Wednesday,March,False
2024-03-20 17:00:00,11223,17,20,Wednesday,March,False
2024-03-20 16:00:00,3746,16,20,Wednesday,March,False
2024-03-20 15:00:00,313,15,20,Wednesday,March,False
2024-03-20 14:00:00,88,14,20,Wednesday,March,False
2024-03-20 13:00:00,106,13,20,Wednesday,March,False
2024-03-20 12:00:00,96,12,20,Wednesday,March,False
2024-03-20 11:00:00,117,11,20,Wednesday,March,False
2024-03-20 10:00:00,128,10,20,Wednesday,March,False
2024-03-20 09:00:00,134,9,20,Wednesday,March,False
2024-03-20 08:00:00,126,8,20,Wednesday,March,False
2024-03-20 07:00:00,128,7,20,Wednesday,March,False
2024-03-20 06:00:00,98,6,20,Wednesday,March,False
2024-03-20 05:00:00,106,5,20,Wednesday,March,False
2024-03-20 04:00:00,98,4,20,Wednesday,March,False
2024-03-20 03:00:00,2239,3,20,Wednesday,March,False
2024-03-20 02:00:00,9124,2,20,Wednesday,March,False
2024-03-20 01:00:00,11682,1,20,Wednesday,March,False
2024-03-20 00:00:00,12631,0,20,Wednesday,March,False
2024-03-19 23:00:00,13614,23,19,Tuesday,March,False
2024-03-19 22:00:00,14369,22,19,Tuesday,March,True
2024-03-19 21:00:00,14646,21,19,Tuesday,March,True
2024-03-19 20:00:00,14613,20,19,Tuesday,March,True
2024-03-19 19:00:00,14207,19,19,Tuesday,March,True
2024-03-19 18:00:00,13994,18,19,Tuesday,March,False
2024-03-19 17:00:00,10610,17,19,Tuesday,March,False
2024-03-19 16:00:00,3606,16,19,Tuesday,March,False
2024-03-19 15:00:00,356,15,19,Tuesday,March,False
2024-03-19 14:00:00,95,14,19,Tuesday,March,False
2024-03-19 13:00:00,58,13,19,Tuesday,March,False
2024-03-19 12:00:00,74,12,19,Tuesday,March,False
2024-03-19 11:00:00,73,11,19,Tuesday,March,False
2024-03-19 10:00:00,64,10,19,Tuesday,March,False
2024-03-19 09:00:00,56,9,19,Tuesday,March,False
2024-03-19 08:00:00,39,8,19,Tuesday,March,False
2024-03-19 07:00:00,26,7,19,Tuesday,March,False
2024-03-19 06:00:00,32,6,19,Tuesday,March,False
2024-03-19 03:00:00,1890,3,19,Tuesday,March,False
2024-03-19 02:00:00,7516,2,19,Tuesday,March,False
2024-03-19 01:00:00,9492,1,19,Tuesday,March,False
2024-03-19 00:00:00,11213,0,19,Tuesday,March,False
2024-03-18 23:00:00,12418,23,18,Monday,March,False
2024-03-18 22:00:00,12479,22,18,Monday,March,False
2024-03-18 21:00:00,13594,21,18,Monday,March,False
2024-03-18 20:00:00,14085,20,18,Monday,March,False
2024-03-18 19:00:00,14093,19,18,Monday,March,False
2024-03-18 18:00:00,12982,18,18,Monday,March,False
2024-03-18 17:00:00,10079,17,18,Monday,March,False
2024-03-18 16:00:00,3193,16,18,Monday,March,False
2024-03-18 15:00:00,266,15,18,Monday,March,False
2024-03-18 10:00:00,20,10,18,Monday,March,False
2024-03-18 09:00:00,75,9,18,Monday,March,False
2024-03-18 08:00:00,71,8,18,Monday,March,False
2024-03-18 07:00:00,54,7,18,Monday,March,False
2024-03-18 06:00:00,35,6,18,Monday,March,False
2024-03-18 05:00:00,39,5,18,Monday,March,False
2024-03-18 04:00:00,76,4,18,Monday,March,False
2024-03-18 03:00:00,1814,3,18,Monday,March,False
2024-03-18 02:00:00,7225,2,18,Monday,March,False
2024-03-18 01:00:00,9056,1,18,Monday,March,False
2024-03-18 00:00:00,9182,0,18,Monday,March,False
