period,respondent,respondent-name,fueltype,type-name,value,value-units
2024-03-17T21,CAL,California,SUN,Solar,11972,megawatthours
2024-03-17T20,CAL,California,SUN,Solar,11897,megawatthours
2024-03-17T19,CAL,California,SUN,Solar,12608,megawatthours
2024-03-17T18,CAL,California,SUN,Solar,12576,megawatthours
2024-03-17T17,CAL,California,SUN,Solar,10039,megawatthours
2024-03-17T16,CAL,California,SUN,Solar,2913,megawatthours
2024-03-17T15,CAL,California,SUN,Solar,211,megawatthours
2024-03-17T14,CAL,California,SUN,Solar,30,megawatthours
2024-03-17T13,CAL,California,SUN,Solar,69,megawatthours
2024-03-17T12,CAL,California,SUN,Solar,89,megawatthours
2024-03-17T11,CAL,California,SUN,Solar,119,megawatthours
2024-03-17T10,CAL,California,SUN,Solar,110,megawatthours
2024-03-17T09,CAL,California,SUN,Solar,113,megawatthours
2024-03-17T08,CAL,California,SUN,Solar,129,megawatthours
2024-03-17T07,CAL,California,SUN,Solar,122,megawatthours
2024-03-17T06,CAL,California,SUN,Solar,145,megawatthours
2024-03-17T05,CAL,California,SUN,Solar,136,megawatthours
2024-03-17T04,CAL,California,SUN,Solar,95,megawatthours
2024-03-17T03,CAL,California,SUN,Solar,1453,megawatthours
2024-03-17T02,CAL,California,SUN,Solar,5211,megawatthours
2024-03-17T01,CAL,California,SUN,Solar,7238,megawatthours
2024-03-17T00,CAL,California,SUN,Solar,8484,megawatthours
2024-03-16T23,CAL,California,SUN,Solar,9353,megawatthours
2024-03-16T22,CAL,California,SUN,Solar,10403,megawatthours
2024-03-16T21,CAL,California,SUN,Solar,11613,megawatthours
2024-03-16T20,CAL,California,SUN,Solar,12469,megawatthours
2024-03-16T19,CAL,California,SUN,Solar,12567,megawatthours
2024-03-16T18,CAL,California,SUN,Solar,11287,megawatthours
2024-03-16T17,CAL,California,SUN,Solar,7923,megawatthours
2024-03-16T16,CAL,California,SUN,Solar,1682,megawatthours
2024-03-16T15,CAL,California,SUN,Solar,62,megawatthours
2024-03-16T14,CAL,California,SUN,Solar,-49,megawatthours
2024-03-16T13,CAL,California,SUN,Solar,-35,megawatthours
2024-03-16T12,CAL,California,SUN,Solar,-30,megawatthours
2024-03-16T11,CAL,California,SUN,Solar,-53,megawatthours
2024-03-16T10,CAL,California,SUN,Solar,-43,megawatthours
2024-03-16T09,CAL,California,SUN,Solar,-14,megawatthours
2024-03-16T08,CAL,California,SUN,Solar,9,megawatthours
2024-03-16T07,CAL,California,SUN,Solar,7,megawatthours
2024-03-16T06,CAL,California,SUN,Solar,-26,megawatthours
2024-03-16T05,CAL,California,SUN,Solar,-32,megawatthours
2024-03-16T04,CAL,California,SUN,Solar,-34,megawatthours
2024-03-16T03,CAL,California,SUN,Solar,1041,megawatthours
2024-03-16T02,CAL,California,SUN,Solar,4834,megawatthours
2024-03-16T01,CAL,California,SUN,Solar,7119,megawatthours
2024-03-16T00,CAL,California,SUN,Solar,8731,megawatthours
2024-03-15T23,CAL,California,SUN,Solar,9805,megawatthours
2024-03-15T22,CAL,California,SUN,Solar,10787,megawatthours
2024-03-15T21,CAL,California,SUN,Solar,9772,megawatthours
2024-03-15T20,CAL,California,SUN,Solar,9603,megawatthours
2024-03-15T19,CAL,California,SUN,Solar,8640,megawatthours
2024-03-15T18,CAL,California,SUN,Solar,8593,megawatthours
2024-03-15T17,CAL,California,SUN,Solar,6014,megawatthours
2024-03-15T16,CAL,California,SUN,Solar,1458,megawatthours
2024-03-15T15,CAL,California,SUN,Solar,144,megawatthours
2024-03-15T14,CAL,California,SUN,Solar,73,megawatthours
2024-03-15T13,CAL,California,SUN,Solar,73,megawatthours
2024-03-15T12,CAL,California,SUN,Solar,76,megawatthours
